epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21.3173,1.94674,1.85339,1.09699,0.82631,0.56,0.63673,0.33789,1.66009,1.54079,1.01102,0.005842,0.005842,0.005842
44,21.7717,1.94176,1.65432,1.08555,0.67022,0.4066,0.51192,0.21661,1.96574,2.03823,1.06886,0.005743,0.005743,0.005743
45,22.208,1.86117,1.70288,1.05951,0.67022,0.4066,0.51192,0.21661,1.96574,2.03823,1.06886,0.005644,0.005644,0.005644
46,22.6545,1.88319,1.73299,1.08139,0.454,0.38,0.4019,0.17921,2.012,1.63964,1.05342,0.005545,0.005545,0.005545
47,23.2043,1.73448,1.64495,1.00558,0.79946,0.56,0.61757,0.30712,1.74339,1.56934,1.01149,0.005446,0.005446,0.005446
48,23.6537,1.79099,1.60167,1.06999,0.90628,0.58024,0.71038,0.34146,1.77722,1.26072,1.05287,0.005347,0.005347,0.005347
49,24.1006,1.88543,1.6356,1.10139,0.90628,0.58024,0.71038,0.34146,1.77722,1.26072,1.05287,0.005248,0.005248,0.005248
50,24.5618,1.66995,1.67664,1.05754,0.83359,0.60114,0.72536,0.31557,1.74636,1.30027,1.03138,0.005149,0.005149,0.005149
51,25.0109,1.81078,1.65789,1.0888,0.75808,0.62681,0.71152,0.31722,1.68409,1.35984,1.02918,0.00505,0.00505,0.00505
52,25.4671,1.89312,1.49753,1.07167,0.74414,0.63985,0.74603,0.31704,1.66108,1.30799,1.02655,0.004951,0.004951,0.004951
53,25.9004,1.69787,1.52347,0.99799,0.74414,0.63985,0.74603,0.31704,1.66108,1.30799,1.02655,0.004852,0.004852,0.004852
54,26.3444,1.77029,1.59804,0.99217,0.71062,0.68769,0.76258,0.36546,1.60622,1.35799,1.03272,0.004753,0.004753,0.004753
55,26.795,1.71656,1.45552,1.03319,0.79596,0.62426,0.74589,0.34696,1.61179,1.2577,1.02308,0.004654,0.004654,0.004654
56,27.2436,1.6597,1.5539,1.03609,0.76534,0.65242,0.73505,0.35285,1.67947,1.30493,1.03647,0.004555,0.004555,0.004555
57,27.6722,1.56633,1.47893,1.01412,0.76534,0.65242,0.73505,0.35285,1.67947,1.30493,1.03647,0.004456,0.004456,0.004456
58,28.1292,1.62214,1.41957,1.02668,0.79926,0.71673,0.78521,0.35301,1.67484,1.30574,1.02836,0.004357,0.004357,0.004357
59,28.5713,1.61691,1.46388,1.00521,0.82218,0.72,0.80911,0.40597,1.54706,1.1483,1.00656,0.004258,0.004258,0.004258
60,29.0208,1.60644,1.30521,1.01196,0.85638,0.78,0.85784,0.44381,1.44815,1.06019,0.94297,0.004159,0.004159,0.004159
61,29.4645,1.45466,1.36747,0.95117,0.85638,0.78,0.85784,0.44381,1.44815,1.06019,0.94297,0.00406,0.00406,0.00406
62,29.9305,1.66934,1.40495,1.02089,0.84449,0.76026,0.8457,0.46559,1.38135,1.02373,0.92714,0.003961,0.003961,0.003961
63,30.398,1.50944,1.35622,0.98606,0.83921,0.84,0.8656,0.4594,1.4634,1.04804,0.95271,0.003862,0.003862,0.003862
64,30.8444,1.68118,1.49268,1.03203,0.84304,0.82,0.86492,0.43665,1.46981,1.10083,0.95415,0.003763,0.003763,0.003763
65,31.2747,1.84469,1.4745,1.05457,0.84304,0.82,0.86492,0.43665,1.46981,1.10083,0.95415,0.003664,0.003664,0.003664
66,31.7265,1.6126,1.3314,0.97384,0.88732,0.8,0.88815,0.43421,1.53686,1.03374,0.93799,0.003565,0.003565,0.003565
67,32.1711,1.54012,1.30463,1.00553,0.95487,0.78,0.88891,0.51239,1.37215,0.96927,0.91899,0.003466,0.003466,0.003466
68,32.6309,1.38032,1.20909,0.94507,0.92609,0.75188,0.86041,0.48068,1.42123,1.03288,0.92669,0.003367,0.003367,0.003367
69,33.1525,1.3774,1.13738,0.95097,0.92609,0.75188,0.86041,0.48068,1.42123,1.03288,0.92669,0.003268,0.003268,0.003268
70,33.5974,1.6899,1.34565,0.9451,0.98818,0.76,0.88823,0.50275,1.3398,0.92811,0.9089,0.003169,0.003169,0.003169
71,34.0427,1.56602,1.23684,0.97446,1,0.75674,0.87762,0.50912,1.34039,0.9313,0.90422,0.00307,0.00307,0.00307
72,34.4891,1.50026,1.17753,0.93226,0.97927,0.72,0.87631,0.52487,1.27603,0.92585,0.89884,0.002971,0.002971,0.002971
